Estado Matricula,Período,Año,Organización Jurídica,Categoría,Tamaño,Sector Agregado,Sector Actividad Económica,CIIU1,Personal Ocupado,Municipio,Zona,Barrio,Total Valor Activos,Total Valor Pasivos,Total Valor Patrimonio,Total Valor Ventas Netas
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Servicios,Alojamiento y Servicios de Comida,I5511 ** Alojamiento en hoteles,0,LA PLATA,OCCIDENTE,LA POLA,3000000,0,3000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Comercio,Comercio al por mayor y al por menor; Vehículos,G4719 ** Comercio al por menor en establecimientos no especializados  con surtido compuesto principalmente por productos diferentes de alimentos (víveres en general)  bebidas (alcohólicas y no alcohólicas) y tabaco,0,NEIVA,NORTE,LOS PINOS,1800000,0,1800000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Servicios,Actividades mobiliarias,L6820 ** Actividades inmobiliarias realizadas a cambio de una retribucion o por contrata,0,NEIVA,NORTE,VIRGILIO BARCO,1000000,0,1000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Servicios,Alojamiento y Servicios de Comida,I5630 ** Expendio de bebidas alcoholicas para el consumo dentro del establecimiento,1,ISNOS,SUR,PORVENIR,3000000,0,3000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Construcción,Construcción,F4330 ** Terminacion y acabado de edificios y obras de ingenieria civil,0,GIGANTE,CENTRO,MIRTAYU,2000000,0,2000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Industria,Industrias manufactureras,C1020 ** Procesamiento y conservacion de frutas  legumbres  hortalizas y tuberculos,0,NEIVA,NORTE,LOS MARTIRES,4000000,0,4000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Comercio,Comercio al por mayor y al por menor; Vehículos,G4772 ** Comercio al por menor de todo tipo de calzado y articulos de cuero y sucedaneos del cuero en establecimientos especializados,0,RIVERA,NORTE,CENTRO,5000000,0,5000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Comercio,Comercio al por mayor y al por menor; Vehículos,G4711 ** Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos  bebidas (alcohólicas y no alcohólicas) o tabaco,1,PITALITO,SUR,SAN FRANCISCO,3000000,0,3000000,0
Constituciones,2° Trimestre,2021,Sociedades por Acciones Simplificadas,Principal,Micro,Servicios,Actividades de servicios administrativos y de apoyo,N8030 ** Actividades de detectives e investigadores privados,0,NEIVA,NORTE,VILLAS DE SAN FERNANDO,500000,0,500000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Comercio,Comercio al por mayor y al por menor; Vehículos,G4541 ** Comercio de motocicletas y de sus partes  piezas y accesorios,1,ACEVEDO,SUR,INSPECCION DE SAN ADOLFO,4000000,0,4000000,0
Constituciones,2° Trimestre,2021,Sociedades por Acciones Simplificadas,Principal,Micro,ERROR: #N/A,ERROR: #N/A,M7112 ** Actividades de ingeniería y otras actividades conexas de consultoría técnica,0,NEIVA,NORTE,ALAMEDA DE MONTERREY,50000000,0,50000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Servicios,Otras actividades de servicios,S9521 ** Mantenimiento y reparacion de aparatos electronicos de consumo,0,NEIVA,NORTE,EL JARDIN,1500000,0,1500000,2000000
Constituciones,2° Trimestre,2021,Sociedades por Acciones Simplificadas,Principal,Micro,Comercio,Comercio al por mayor y al por menor; Vehículos,G4520 ** Mantenimiento y reparacion de vehiculos automotores,0,PITALITO,SUR,CENTRO,5000000,0,5000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Comercio,Comercio al por mayor y al por menor; Vehículos,G4721 ** Comercio al por menor de productos agricolas para el consumo en establecimientos especializados,1,SAN AGUSTIN,SUR,SAN MARTIN,1000000,0,1000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Industria,Industrias manufactureras,C1081 ** Elaboracion de productos de panaderia,0,GARZON,CENTRO,ZULUAGA,3000000,0,3000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Comercio,Comercio al por mayor y al por menor; Vehículos,G4711 ** Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos  bebidas (alcohólicas y no alcohólicas) o tabaco,0,IQUIRA,NORTE,CENTRO,1000000,0,1000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Comercio,Comercio al por mayor y al por menor; Vehículos,G4752 ** Comercio al por menor de articulos de ferreteria  pinturas y productos de vidrio en establecimientos especializados,0,ISNOS,SUR,SAN FERNANDO,3500000,0,3500000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Servicios,"Distribución de agua, saneamiento ambiental",E3830 ** Recuperacion de materiales,0,CAMPOALEGRE,NORTE,PIRAVANTE BAJO,10000000,0,10000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Comercio,Comercio al por mayor y al por menor; Vehículos,G4724 ** Comercio al por menor de bebidas y productos del tabaco  en establecimientos especializados,0,NEIVA,NORTE,QUEBRADITAS,1800000,0,1800000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Comercio,Comercio al por mayor y al por menor; Vehículos,G4774 ** Comercio al por menor de otros productos nuevos en establecimientos especializados,1,NEIVA,NORTE,COND. CAMINOS DE PRIMAVERA,1000000,600000,400000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Servicios,Alojamiento y Servicios de Comida,I5619 ** Otros tipos de expendio de comidas preparadas n.c.p.,0,PITALITO,SUR,VILLA CATARINA,4000000,0,4000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Agricultura,"Agricultura, ganadería, caza, silvicultura y pesca",A0161 ** Actividades de apoyo a la agricultura,1,NEIVA,NORTE,LA ORQUIDEA,1000000,500000,500000,100000
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Comercio,Comercio al por mayor y al por menor; Vehículos,G4721 ** Comercio al por menor de productos agricolas para el consumo en establecimientos especializados,0,NEIVA,NORTE,EL CENTRO,5000000,0,5000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Servicios,Alojamiento y Servicios de Comida,I5630 ** Expendio de bebidas alcoholicas para el consumo dentro del establecimiento,0,GARZON,CENTRO,LAS MERCEDES,5000000,0,5000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Comercio,Comercio al por mayor y al por menor; Vehículos,G4759 ** Comercio al por menor de otros articulos domesticos en establecimientos especializados,0,TESALIA,OCCIDENTE,EL CENTRO,3500000,0,3500000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Servicios,Alojamiento y Servicios de Comida,I5611 ** Expendio a la mesa de comidas preparadas,0,NEIVA,NORTE,SIGLO XXI ORIENTE,3000000,0,3000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Comercio,Comercio al por mayor y al por menor; Vehículos,G4721 ** Comercio al por menor de productos agricolas para el consumo en establecimientos especializados,0,NEIVA,NORTE,TENERIFE,600000,0,600000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Comercio,Comercio al por mayor y al por menor; Vehículos,G4520 ** Mantenimiento y reparacion de vehiculos automotores,0,TESALIA,OCCIDENTE,EL JARDIN,3500000,0,3500000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Industria,Industrias manufactureras,C2511 ** Fabricacion de productos metalicos para uso estructural,1,PITALITO,SUR,DIVINO NIÑO,4000000,0,4000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Comercio,Comercio al por mayor y al por menor; Vehículos,G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados,0,NEIVA,NORTE,EL CENTRO,5000000,0,5000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Industria,Industrias manufactureras,C1040 ** Elaboracion de productos lacteos,0,GIGANTE,CENTRO,VEREDA LOS ALTARES,1000000,0,1000000,0
Constituciones,2° Trimestre,2021,Sociedades por Acciones Simplificadas,Principal,Micro,Servicios,"Actividades profesionales, científicas y técnicas",M7120 ** Ensayos y analisis tecnicos,0,NEIVA,NORTE,LOS MARTIRES,2000000,0,2000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Comercio,Comercio al por mayor y al por menor; Vehículos,G4791 ** Comercio al por menor realizado a traves de internet,0,NEIVA,NORTE,IPANEMA,500000,0,500000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Servicios,Alojamiento y Servicios de Comida,I5630 ** Expendio de bebidas alcoholicas para el consumo dentro del establecimiento,0,PALERMO,NORTE,CENTRO,2000000,0,2000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Comercio,Comercio al por mayor y al por menor; Vehículos,G4723 ** Comercio al por menor de carnes (incluye aves de corral)  productos carnicos  pescados y productos de mar  en establecimientos especializados,0,SALADOBLANCO,SUR,EL CENTRO,3500000,0,3500000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Comercio,Comercio al por mayor y al por menor; Vehículos,G4664 ** Comercio al por mayor de productos quimicos basicos  cauchos y plasticos en formas primarias y productos quimicos de uso agropecuario,1,ELIAS,SUR,EL CENTRO,4000000,0,4000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Servicios,Actividades de servicios administrativos y de apoyo,N7911 ** Actividades de las agencias de viaje,1,NEIVA,NORTE,CONJUNTO RESIDENCIAL LA MORADA DEL VIENTO,1700000,0,1700000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Servicios,"Actividades artísticas, de entretenimiento y recreación",R9329 ** Otras actividades recreativas y de esparcimiento n.c.p.,1,PALESTINA,SUR,,2000000,0,2000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Comercio,Comercio al por mayor y al por menor; Vehículos,G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados,1,SAN AGUSTIN,SUR,SAN JOSE,3800000,0,3800000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Comercio,Comercio al por mayor y al por menor; Vehículos,G4774 ** Comercio al por menor de otros productos nuevos en establecimientos especializados,0,NEIVA,NORTE,EL CENTRO,1000000,0,1000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Comercio,Comercio al por mayor y al por menor; Vehículos,G4722 ** Comercio al por menor de leche  productos lacteos y huevos  en establecimientos especializados,0,GARZON,CENTRO,VERGEL,3000000,0,3000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Comercio,Comercio al por mayor y al por menor; Vehículos,G4752 ** Comercio al por menor de articulos de ferreteria  pinturas y productos de vidrio en establecimientos especializados,1,PITALITO,SUR,BRUSELAS,4000000,0,4000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Servicios,"Actividades profesionales, científicas y técnicas",M7310 ** Publicidad,0,NEIVA,NORTE,LOS GUADUALES,15000000,0,15000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Servicios,"Actividades profesionales, científicas y técnicas",M7310 ** Publicidad,0,NEIVA,NORTE,CONJ. RESIDENCIAL MULTICENTRO,1000000,0,1000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Comercio,Comercio al por mayor y al por menor; Vehículos,G4761 ** Comercio al por menor de libros  periodicos  materiales y articulos de papeleria y escritorio  en establecimientos especializados,1,PITALITO,SUR,TRINIDAD,4000000,0,4000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Servicios,Otras actividades de servicios,S9602 ** Peluqueria y otros tratamientos de belleza,0,NEIVA,NORTE,MONSERRATE,1500000,0,1500000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Comercio,Comercio al por mayor y al por menor; Vehículos,G4799 ** Otros tipos de comercio al por menor no realizado en establecimientos  puestos de venta o mercados,1,NEIVA,NORTE,,16300000,650000,15650000,47258618
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Comercio,Comercio al por mayor y al por menor; Vehículos,G4719 ** Comercio al por menor en establecimientos no especializados  con surtido compuesto principalmente por productos diferentes de alimentos (víveres en general)  bebidas (alcohólicas y no alcohólicas) y tabaco,0,NEIVA,NORTE,EL TESORO,6000000,0,6000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Industria,Industrias manufactureras,C2511 ** Fabricacion de productos metalicos para uso estructural,0,NEIVA,NORTE,ZONA INDUSTRIAL,13000000,0,13000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Comercio,Comercio al por mayor y al por menor; Vehículos,G4724 ** Comercio al por menor de bebidas y productos del tabaco  en establecimientos especializados,0,TELLO,NORTE,JULIO BAHAMON,1000000,0,1000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Comercio,Comercio al por mayor y al por menor; Vehículos,G4719 ** Comercio al por menor en establecimientos no especializados  con surtido compuesto principalmente por productos diferentes de alimentos (víveres en general)  bebidas (alcohólicas y no alcohólicas) y tabaco,0,NEIVA,NORTE,LAS AMERICAS,800000,0,800000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Industria,Industrias manufactureras,C2410 ** Industrias basicas de hierro y de acero,0,NEIVA,NORTE,LAS MARGARITAS,2000000,0,2000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Servicios,Información y comunicaciones,J6201 ** Actividades de desarrollo de sistemas informaticos (planificacion  analisis  diseño  programacion  pruebas),0,NEIVA,NORTE,VILLA CAROLINA,2000000,0,2000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Comercio,Comercio al por mayor y al por menor; Vehículos,G4755 ** Comercio al por menor de artículos y utensilios de uso doméstico en establecimientos especializados,0,YAGUARA,NORTE,GUAYABAL,2000000,0,2000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Comercio,Comercio al por mayor y al por menor; Vehículos,G4724 ** Comercio al por menor de bebidas y productos del tabaco  en establecimientos especializados,0,AIPE,NORTE,ANGEL MARIA PERDOMO,5000000,0,5000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Comercio,Comercio al por mayor y al por menor; Vehículos,G4541 ** Comercio de motocicletas y de sus partes  piezas y accesorios,0,NEIVA,NORTE,CALAMARI,2000000,0,2000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Comercio,Comercio al por mayor y al por menor; Vehículos,G4723 ** Comercio al por menor de carnes (incluye aves de corral)  productos carnicos  pescados y productos de mar  en establecimientos especializados,0,NEIVA,NORTE,EL CENTRO,1500000,0,1500000,0
Constituciones,2° Trimestre,2021,Sociedades por Acciones Simplificadas,Principal,Micro,Servicios,Información y comunicaciones,J6110 ** Actividades de telecomunicaciones alambricas,0,TIMANA,SUR,SANTA LUCIA,12000000,0,12000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Comercio,Comercio al por mayor y al por menor; Vehículos,G4711 ** Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos  bebidas (alcohólicas y no alcohólicas) o tabaco,1,PITALITO,SUR,CHARGUAYACO,3000000,0,3000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Comercio,Comercio al por mayor y al por menor; Vehículos,G4772 ** Comercio al por menor de todo tipo de calzado y articulos de cuero y sucedaneos del cuero en establecimientos especializados,0,NEIVA,NORTE,EL CENTRO,3000000,0,3000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Servicios,Alojamiento y Servicios de Comida,I5611 ** Expendio a la mesa de comidas preparadas,1,ISNOS,SUR,PROGRESO,4500000,0,4500000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Comercio,Comercio al por mayor y al por menor; Vehículos,G4774 ** Comercio al por menor de otros productos nuevos en establecimientos especializados,0,PITALITO,SUR,SANTA CLARA,3000000,0,3000000,0
Constituciones,2° Trimestre,2021,Sociedades por Acciones Simplificadas,Principal,Micro,Servicios,Información y comunicaciones,J6201 ** Actividades de desarrollo de sistemas informaticos (planificacion  analisis  diseño  programacion  pruebas),0,NEIVA,NORTE,LAS ACACIAS,500000,0,500000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Servicios,Alojamiento y Servicios de Comida,I5611 ** Expendio a la mesa de comidas preparadas,0,PITALITO,SUR,LOS LAGOS,2200000,0,2200000,2200000
Constituciones,2° Trimestre,2021,Sociedades por Acciones Simplificadas,Principal,Micro,Servicios,"Actividades profesionales, científicas y técnicas",M6920 ** Actividades de contabilidad  teneduria de libros  auditoria financiera y asesoria tributaria,0,PALERMO,NORTE,PANAMA,1000000,0,1000000,0
Constituciones,2° Trimestre,2021,Sociedades por Acciones Simplificadas,Principal,Micro,Industria,Industrias manufactureras,C1089 ** Elaboracion de otros productos alimenticios n.c.p.,0,NEIVA,NORTE,CAGUAN,5000000,0,5000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Agricultura,"Agricultura, ganadería, caza, silvicultura y pesca",A0141 ** Cria de ganado bovino y bufalino,1,TIMANA,SUR,CASCAJAL,50000000,0,50000000,0
Constituciones,2° Trimestre,2021,Sociedades por Acciones Simplificadas,Principal,Micro,Comercio,Comercio al por mayor y al por menor; Vehículos,G4663 ** Comercio al por mayor de materiales de construccion  articulos de ferreteria  pinturas  productos de vidrio  equipo y materiales de fontaneria y calefaccion,0,LA PLATA,OCCIDENTE,LA ESTANCIA,30000000,0,30000000,0
Constituciones,2° Trimestre,2021,Sociedades por Acciones Simplificadas,Principal,Micro,Construcción,Construcción,F4290 ** Construccion de otras obras de ingenieria civil,0,NEIVA,NORTE,LOS CAMBULOS,50000000,0,50000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Comercio,Comercio al por mayor y al por menor; Vehículos,G4752 ** Comercio al por menor de articulos de ferreteria  pinturas y productos de vidrio en establecimientos especializados,1,PITALITO,SUR,SOLARTE,1000000,0,1000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Comercio,Comercio al por mayor y al por menor; Vehículos,G4711 ** Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos  bebidas (alcohólicas y no alcohólicas) o tabaco,0,NEIVA,NORTE,LOS CAMBULOS,2500000,0,2500000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Comercio,Comercio al por mayor y al por menor; Vehículos,G4711 ** Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos  bebidas (alcohólicas y no alcohólicas) o tabaco,0,NEIVA,NORTE,LAS MERCEDES,500000,0,500000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Industria,Industrias manufactureras,C1081 ** Elaboracion de productos de panaderia,0,RIVERA,NORTE,ULLOA,300000,0,300000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Comercio,Comercio al por mayor y al por menor; Vehículos,G4769 ** Comercio al por menor de otros articulos culturales y de entretenimiento n.c.p. en establecimientos especializados,1,PITALITO,SUR,SUCRE,4000000,0,4000000,0
